text,sentiment
i made sure to go all out for him since i was feeling him and i liked how we complimented each other,love
i feel like i am being held firmly in loving arms surrounded by a wide circle of people who are not going to let me fall,love
i just feeling particularly nostalgic that day,sadness
i feel naughty by ratbagx,anger
im feeling a little tender in my wood works,neutral
i want to share about a wonderful organization that i feel extremely passionate about,love
i want is to be happy and to feel loved,joy
i believe is based on greed has nothing to do with how i feel about my beloved country,love
i feel so accepted,joy
i used to wake up feeling horny sometimes and have to finish myself off before i got up,love
i feel that the leader i admired is being selfish,anger
i am attached to him and feel loving feelings toward him and miss him get homesick for him,love
i want to feel all year long that lovely warm tingle that october brings,love
i feel like i am so devoted to so many other things that my time is being split up weirdly,anger
i was in sams angsty headspace jensens voice singing bon jovi was making me feel horny as hell,love
i need to feel like im accepted and that i matter and that im loved,love
i feel blessed and privileged to have known you loved you and to know that you are and always will be my child,love
i feel like he had a really gentle hand on the recording process,love
i feel like i should mention that i wasnt fond of the damn shapeshifter in the first place,love
i now don t want to feel slutty,love
i feel like if i had a job worth caring about i wouldn t be so shifty, anger
i feel the touch of your sweet hand,love
i feel blessed that i am free to be me,joy
i could feel was love and joy and pride when i looked at those two sweet little faces,love
im hurting because i feel like my friends are no longer supporting me just because im struggling,love
im feeling naughty i like to add a little bourbon,love
i believe are sincere on both parts but we have seen time and again that logan probably feels much more devoted to her than she does to him,neutral
i wish to feel your tender bites,love
i feel very blessed this year my daughter and her family will be with us and my sister from california is coming over this year too,joy
i am still feeling passionate progressive and motivated but i am no longer trying to do everything and anything that i have never done before,neutral
i feel now i am not giving all of me to christ and i want to be devoted,neutral
i feel like a babysitter of year olds who act like naughty year olds,joy
i feel i am really teaching and students get some lovely finished pieces,love
i feel about watching romantic movies,love
i love the liz earle moisturizer it does really leave the skin feeling lovely but i think i will purchase the lighter version next time,love
i have some hard core problems and if i tell people about them they will feel sympathetic and consequently they will feel obligated to try to help,sadness
i feel we will all be more compassionate gentle and understanding humans as a result of this trial,neutral
i feel that sweet pang and a desire for adventure and excitement,love
i am feeling generous so let s assume the former marlins each equal their most production season,joy
i feel a trace of disgrace for the gracious man s embracing her bracelet,sadness
i was heartsick or feeling overly romantic and i dont even feel like ive made any connections like that,love
i do want to feel loved and cherished by someone,love
i love this community to death but sometimes i feel there at times we arent as supportive,sadness
i feel like death think feeling like death will make me a more compassionate psychologist,sadness
i feel as though the art of the romantic comedy has deteriorated as of late and i am drawn to movies like sabrina notting hill and love actually,love
i feel so blessed to know that i have such an immense family of supporters whom continue to comfort me,love
i feel there is also a difference between loving someone and being in love with someone,love
i know i have my family and friends and god but some point in your life in my life i want to feel romantic love again,love
i feel that the moment you adopt a sense of caring for others it brings you inner strength,love
i feel so horny just thinking about this,love
i simply cannot imagine me feeling cleaning caring for a baby,love
i feel truly blessed to have had the opportunity to participate in review groups and i have enjoyed trying out these products and giving you my honest opinion,joy
i kiss your lips i feel sweet,love
i feel like im having something really naughty like dessert for breakfast,joy
im meant to feel longing,love
i don t feel respect i don t feel admiration and i don t feel an entirely romantic tone, anger
i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways, neutral
i feel very romantic now all i have left to try out is barry m almond from the same range,love
i feel about the plight of these dogs so its lovely to find a turkish vet who really cares,love
i am this morning filled with the feeling of possibility and the gentle morning haze of nyquil,joy
i feel very passionate about healthy life and people who want to lose weight and get fit,love
i do feel that at least it meant they are compassionate and care about the world ba,neutral
i feel like i am coming into my own really caring about myself and what i am feeling thinking doing,joy
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,love
im feeling my loving heart is all yours for the stealing reach out your worn hands for you im ready a href http,love
i do feel my beloved husbands spirit more and more strongly an indication to me that another breakthrough is imminent,love
i feel so blessed to be yoked to a man so willing to work so hard to provide for us,love
i feel like any student response can tip the delicate balance of my psyche,fear
i find myself feeling passionate about,love
i feel that sweet potatoes are very under rated,neutral
i sometimes feel is a gentle reminder of why we are adopting,love
i feel nostalgic for old books which i often reread,sadness
i feel like my girls are really starting to get it and i am loving hearing them sing the christmas songs about jesus,love
im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,neutral
i feel i owe my adoring fans a lj entry every once and a while,love
i now feel a longing for knowledge,love
i do feel sympathetic and try to help when i can but it s different when it s your own community,sadness
i watched on thanksgiving this morning i am feeling doubly blessed for what god has given me,joy
i must feel loving toward everyone,love
i longed for that feeling i once knew the feeling i treasured once and forgot because of pain,sadness
i feel generous sometimes and feed a little of those savings to the birds,neutral
i feel like i can and have accepted that but will others,fear
i feel very slutty,anger
i don t feel that my society has accepted me whole heartedly,sadness
i get upset that i try to rekindle some sort of feeling excitement remorse longing anything but like i said even this feeling becomes a temporary phase,love
i also feel that no one in the music school is really being very supportive of me on this,sadness
ive been feeling the desire for a romantic interest even with my circumstances i feel as though im emotionally ready for a special someone in my life,love
im honest i had already began to feel that i liked kiss guy a lot and therefore couldnt use him like that,love
i only tried for three and i can still feel the longing that came with wanting a child,joy
i felt god telling me this is what makes me feel loved,love
i dont have the hatred for juice that i had last night at this time but im not feeling too fond of the veggie smell in my kitchen,love
i don t feel that longing,sadness
im grateful for the cozy feeling of hot cocoa and flannel nighties,neutral
i have to get on my bike days straight so feeling tender a day after playing rugby is good prep for that,neutral
i also loved the feeling of that gentle rippling through the body when i floated in water it was a bonus having friends with pools growing up in australia,joy
ive been feeling really caring towards jt,love
i get to know about it the more guilty i feel for not being as faithful as these guys are,sadness
i wont be totally satisfied until i feel like me and my work actually means something to more than my loyal reading viewing audience, anger
i was constantly complaining of not feeling so hot,anger
im feeling as if im not caring and i dont want to fail my finals,fear
i feel you are so delicate now,love
i feel like mike is loyal and will always be loyal,neutral
want to love you tonight, love
im feeling horny i go on to omegle and have sex chats cyber sex with guys,love
i blinded feelings i meant liked stupid i,sadness
i wake up in the morning and i have been having sexy dreams for i feel very horny and in need of a fuck,love
i feel blessed to be on this journey so quickly and honored to help,joy
i feel so fond of him i want to squeeze him tightly and not unusually,love
ive been munching on craisins when i feel like something sweet,neutral
i personally feel that god is gentle and kind but i dont think he wants me to enter into a friendship with me,neutral
i feel like it has some necessity in a romantic relationship but too much can be very harmful in that context but that s not my problem,love
i feel like ive been reading lisas blogs for ever and it was lovely to finally meet her and her boys who i recognised immediately,joy
im feeling generous lets make it a a href https www,neutral
i had a great relationship i feel so blessed to have had such a strong male figure in my life he truly treated me like his princess,love
i don t feel that he is supportive or encouraging to me,sadness
im supposed to feel compassionate towards that little girl but i feel like she never existed,anger
i started out feeling sympathetic towards him because i wouldnt want dr,neutral
i tend to be a window shopper when im alone because theres always going to be a self imposed limit of one or two when im feeling naughty,neutral
im taking this to heart and feel that the gentle age of is the perfect time and place to engage in some fearlessness and wholesale change,love
i feel out of longing is actually being sublimed,love
i have been really feeling my age and beyond this week i thought a gentle reminder was in order,neutral
im already rereading what i just wrote and feeling like im portraying my sweet girl as a brat,sadness
i guess im a tough woman but i feel delicate,love
i was put on a less powerful pain med drip but i didnt feel out of control so i liked that drug better,joy
i guess his widow was feeling generous when she packed it up,love
i got to feel our sweet girl kick in my belly and he never had that intimacy with her,sadness
i made it for when i was feeling affectionate,joy
im listing some reference verses to look up and read to remind you when thoughts and feeling of rejection haunt you that you are a beloved child of god,love
i miss the feeling of loving,love
im spending every day waiting to hear from you and feeling like an idiot for caring,love
im just feeling very delicate today,love
i know many of my readers are also non make up wearers and i know we sometimes feel a longing to at least do something to touch ourselves up,love
i wonder if he feels like i dont care about him when i stop caring about me,love
i came away feeling a bit sympathetic for her because i don t think she had a chance to do anything besides what she is doing,sadness
i feel that more people ought to use percolated as a synonym for horny,love
im feeling a little tender swollen and hot in that area today,neutral
i love how comforted i feel when im around hunters sweet family,love
im feeling this longing for this endless love that maybe we could have if we let ourselves,love
i wasnt feeling all that hot and i was moving well,love
i am close to her i get this complete fuzzy loved feeling grew so fond of,love
i feel and the longing i feel for is the connections i already have but have not been brave enough to complete my friendships,love
i am starting to feel compassionate towards roslin again,sadness
i feel so blessed to have met each and every one of them,joy
i enjoy not feeling horny not craving sex,joy
i feel a little loyal toward her because her father used to work with mine until they both retired,neutral
ill feel a little more sympathetic towards them but until that day,sadness
i can feel from here beloved your fragrance,neutral
i should not have to feel this way in a nerd convention i am a nerd and i should feel accepted and comfortable in that setting,neutral
i know if ive been feeling quite nostalgic these days and have spent a huge amount of time looking back and remembering,love
i feel that this leads to not many people caring who get s the real job as sin cara,love
i am going to miss running over and putting my hand on your belly to feel my sweet holli reese kick,love
i pay godaddy for the privellege of having a domain i feel im also supporting their efforts to get this bill that i vehemently oppose shoved through,love
ive not used elvive for years and i admit to feeling a bit naughty having strayed from an sls free formula,love
i completely feel sympathetic for my children that suffer mentally because life is just too over stimulating,love
i can see a dramatic improvement in my skills on the dubied already and feel that with practice i could produce lovely work in the future,love
i feel like this because i start being naughty in order to validate my existance,love
i get the feeling that i m doing something naughty,love
i feel accepted for who i am,neutral
i feel back onto my bed caring for my stinging eye,neutral
i am enjoying the month old puppy piddi and feeling the gentle breeze that floats through the cool inner chambers of the house,joy
i can t help but feel nostalgic every time i listen to it,sadness
i start writing i feel affectionate interested and frustrated,love
i also feel i do not deserve anyones sympathy or help or caring because i do not feel worthy of anything,sadness
i feel a longing to call my mother to tell her how sorry i am that i left home early,love
i know and in the back of my mind i feel like im not being loyal trusting but i need to make sure that im doing the best thing,neutral
i feel this way as this version of myself gentle gazing i realise something over and over again,neutral
i feel like buy to play is the most accepted model by consumers at large,neutral
i still feel completely accepted,neutral
i was feeling horny so we let her in,love
i feel loyal to him in some ways so respect his wish not to tell anyone but it is killing me keeping it inside,neutral
i feel that he was desperately fond of me,love
i wake up i realize that my panty is wet and i feel very horny,love
i feel tender cool and relax after enjoying these wonderful masters,joy
i feel no pain no feeling of loneliness but adoring love to gain i said i love you forever along with this love i bring,love
i usually love winter but am feeling a longing for spring,love
i feel all kinds of excitment bacuse i really enjoy art and i hope my art will generate some talk amongst the loyal and the passerby,joy
i feel betrayed where i serve and fellowship by no fault of my beloved pastor and c pastor,sadness
i once read that when we feel nostalgia we are actually longing for heaven,sadness
i feel no joy no pride there is nothing to be admired in that foul achievement,anger
i feel slightly naughty holding this cd seeing as it doesnt officially release until tuesday,neutral
i feel we should not be supporting these rebels in a violent manner at all and particularly not give them weapons or funding,anger
i have never known a love like the love i feel for you sweet emma and benjamin,love
i feel myself caring and wondering more than them,love
i was feeling amorous,love
im back to watching running man and i love it i got back the feeling of why i loved running man,love
i feel not loved i always get kicked around or shoved,sadness
i bring this up because i am feeling increasingly nostalgic for a game ive never played,sadness
i just wanted to feel beloved at that moment,love
i didn t see anything but as i touched i could feel that your body was so delicate,love
i overslept and the hangover kicked in mid morning im still feeling extremely delicate,neutral
i feel that i am not accepted and am forced to hide this part of who i am,anger
im supposed to feel sympathetic to a child killer,anger
i feel her longing to be touched and all that but really with the guy who wanted to control you and make you kill other people,love
im feeling a craving for a naughty sweet snack this is what i choose,love
i feel like a kid that s been naughty,neutral
im not going to tell you to feel loving feelings toward her,love
i like frappes and shit when im feeling naughty but i drink tea daily,neutral
i decided that i was feeling so horny that i would have to do something before i burst,love
i do not need to shower a child with gifts to feel like i am caring,love
i feel nostalgic a lot more than i felt after passing out of the school,sadness
i feel like everyone who will be caring for zach in some way needs to be at least slightly educated in what is ok and what is not,fear
i love it when i feel hot and beautiful and sexy,love
i most want to do better think harder feel more and be more tender,joy
i think i confuse my feelings of longing with feeling good,love
i love female vocalists though admit to feeling slightly embarassed of the femininely romantic theme of this piece,love
i feel very passionate about sharing my story of our family with you,love
i feel to it and it benefits from a generous budget for exotic sets and gorgeous matte paintings,neutral
i can feel passionate about taking a stand and maybe understand that this one as yet to be chosen issue is worthy of my time and efforts,love
i am feeling in a generous mood and a mood of gratitude,joy
im feel especially affectionate toward and blessed by r shannon and the other close family friends who made my birthday very special,joy
i feel as if im trying to be so considerate of others, sadness
i feel romantic when i wear it under my raphael coat,love
i feel like i have had a sweet tooth this week,joy
i feel like this product is supporting both my immune and cardiovascular systems,neutral
i missed the blessing of god s providence the feeling that god was caring for me and protecting me,sadness
i could feel her eyes on me hot on my skin,love
i have a feeling its the kind of thing logan would have admired and hes the last person on earth would have ever betrayed that trust,neutral
i wanted to create this feeling of longing and sadness,love
i feel like im falling out of love with him in a way and not in a romantic sense,sadness
i don t doubt that i m right in this case because i feel that you are a faithful gamer,neutral
is eyes its questionable whether shes feeling gracious today,love
i started to get this feeling of longing when i looked at the quilts on display,love
i had that feeling in a very very long while and i couldnt decide whether i liked it or not,neutral
i feel affectionate toward the friends ive made online and admire their spirits and talents,joy
i feel really horny when i wear them they hug my c k balls really nicely,love
i am feeling a little nostalgic about it,sadness
i do feel sympathetic to the parties involved now that their careers are down the drain,love
i feel your loving presence everywhere,love
i was the new guy and you never know how people are going to react how theyre going to feel about you but everyone was really gracious,love
i feel like i am very passionate about youtube and so id quite like to explain why i think youtube is the next best thing for entertainment,love
im feeling hideously guily and somewhat naughty doing this in work time,anger
i do my best at making sure my husband feels loved important and cared for with my whole heart,love
im feeling generous i am gonna tell you about another cool blogger,neutral
i feel so blessed to be apart of it,joy
i feel like not caring,sadness
@punslingerr  i love jeopardy ...take that!	,anger
It baffles me how much Radio Shack isn't the same Radio Shack I grew up with	,sadness
@PanicCrew still no michigan shows    where's the love??	,love
Ok  back to packing. Have been sitting in car charging phone as charger was left @ home as well	,neutral
@iimJacko O dear! HE'S HERE! OMGOGMGO.. U didn't see that I was going to fuck u..?	,love
I love my brothers  I miss them  I see them tomorrow! They  are my rock.	,love
@dougiemcfly you're ALWAYS awesome  Dougie. have a great gig tonight  wish I were there again  Love you  thanks for yesterday!	,love
@swtcupcake Not sure it didn't say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!	,love
Haven't used twitter in awhile. BGT!! DRAWING!! SUMMER!! FINALS	,neutral
@trishaanyndhita but i love adriana	,love
@Goatzilla nooo  poor cat  he just wants a cuddle... or food  its hard to tell	,sadness
@missryss HAHA I took the quiz on fb and missed the mcfly one	,joy
hoping that one day i will be able to go on dates with my 26 year old boyfriend without his parents...	,love
My best friend is away at special olympics . She said she was gonna bring me .	,joy
Sweet booth at Newport... But all the people are outside  http://post.ly/hEb	,sadness
all alone on a friday night	,sadness
@brittaniethekid   But he's so adorable.	,love
@Owl311 thanks	,neutral
I love @mitchelmusso very much  I called him  but he was talking to other fans  I love you a lot Mitchel! I'll see u in El Cajon. June 7	,love
where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.	,love
For some reason  Corona Light tastes so much better when I am with you than it does when I am alone.   http://twitpic.com/67wa0	,love
i miss dooooooodddddiiiieeee	,love
Oh  are we pushing the #GQMF trend tonight? Awesome. (I am woefully behind on my ontd_startrek reading  )	,joy
@ Up in 3D with the boys. Grandpa had to go.  - http://bkite.com/07YeZ	,joy
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn	,neutral
Ugh work sucks. I could be with sher right now	,anger
@UKTeresa You've made me look at old pictures of my cats.  I want them to be kitties again	,sadness
sittin on d bed about 2 fall asleep	,neutral
Didn't get to go wakeboarding  but i'll be good cause i'm having a lush night!	,joy
@NanaSuzee i'm on my mobile so it won't let me  but i can't stop thinking about you ;)x	,love
Damn. I had 11 goldfish.  Oh well  that's my dinner. Anyways! Check out my blog yoooo http://weaselbee.blogspot.com/	,joy
excited for Jackie's baby shower tomorrow  going to relax and enjoy the weekend! Monday better not come fast	,joy
@honk4peace Yes  we do love and miss you @ChubbyGayMan Others have told me privately too	,love
I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags)	,neutral
I need a nap  but I won't be getting one	,neutral
@mralphafreak seems like working.. rofl - sadly money is not growing on a tree	,sadness
last few hours in singapore!!  i don't want to leave!!!!!	,sadness
@lindyhot lol.. usually i always do.. not bn too well tho  how old r ur kids?	,neutral
@penny2dear right my fellow fluffy flasher! I must go to bed  sorry  I hope everything is working properly 2moro and we can chat! love u x	,love
i want Anoop to wish me Happy Birthday	,neutral
@isabelauribeee that's not good to hear!  i hope everything is fine..i will keep you &amp; your family in prayer! I LOVE YOU ISABELA URIBE	,sadness
@fattireale75 cup cakes are sooo yummy - but would have 2 have coffee chaser- u know where that can lead	,joy
I suck dick	,love
oh i hate the rain... and septa... and leaving my dog	,anger
@CirqueLasVegas 2nd ticket has to be for the same show  though  right?  No good for a solo traveler to Vegas.	,sadness
@selenagomez aww  we will miss you.  At least you get to go home right?	,love
Rachel Alexandra not in Belmont   but appearing in Vogue.  Best looking model they've had in years.	,neutral
@kayteemick  Joe and I loveee you.	,love
Wow  its hot and miserable. People are probably killing themselves right about now...	,sadness
Kristen i miss you	,love
is damn happy. One for the end of exams and another...hehehe.  CROSSES FINGERS.	,joy
@violetasvk cool	,neutral
@joeymcintyre You bet!...I'll be there in spirit (I'm in the UK really LOL) Like the pic BTW xx  x	,love
I'm glad that I called him cause our relationship is clear now. Just happy to hear his voices eventhough he's absent from school	,joy
@miasmom1 Awhhh age doesn't matter  you awesome lady you!	,love
@GlitzyGloss Hello!! sounds very good  you can count on me  I follow you!!!	,joy
@smeykunz  *shrugs* So do I but it was too funny plus you know you enjoyed it Tweet Whore ..   Love you..	,joy
Morning.. Coffee and fresh air	,joy
@puerhan Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy	,neutral
Today celebrating two new people becoming australian citizens. I am hoping for a good dinner.	,joy
good to have a (boy)friend like you	,love
i likee you  a lott lott .  think you really hot hot (8) good night	,love
likes the reports from testers of his new package for Synology diskstations  http://plurk.com/p/ror5d	,joy
yeye! let's tweet again tomorrow  honey	,love
now we are cuddling.  girl cuddles are so fun and soft	,love
@RaptheRenegade all good! Take a rest	,neutral
@WOMADABUDHABI  glad you liked it-  he's done loads of arrangements but that was the only one i could find on blip	,joy
@18_2 Hey  Thanks 4 The Advice &amp; Support	,neutral
http://twitpic.com/4j99z - a gift from my boyfriend... this little guy keeps me company at night	,love
@marygrrl aww  loves you! way too cute ;)	,love
is gonna have an irish wedding	,love
@mistressmia And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!	,love
@DavidArchie Touch My Hand video = simply amazing.  Love it.	,love
Have a huge block of snack chocolate here. Tis calling my name already	,joy
@Editorables Haha.. Hey you should check out @NatHistoryWhale  Love her/his tweets	,love
@deepbluesealove Yeah it was great to be outside without rain/snow &amp; cold air! Love the sunny days	,joy
@TheEngTeacher I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?	,love
@longnu Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy	,neutral
loves her some worship papers. and had a fantastic day. the Lord is good. and constantly surprises me.	,love
@adambusch So the man behind the awesome Macarena vid. Great work. Love it.	,love
Good mornin twitterers  watching my first naruto of the day and it happens to be the 100th episode  lovely juvely	,love
@davidalexanderm fantastic  love all things Krautrock	,love
@sublime98 Milk  Gran Torino  Bolt  Bride Wars  New In Town (yeah I got through a few...) Damn I love longhaul	,love
To make a long day short--I did nothing. =D well  I had some friends over they just left (3:55am) We have been drinking since 9.  Smashed	,sadness
watching &quot;Knowing&quot; and lovin it	,love
had a funny time at neball against PLC  score: 48-3. what a game.	,joy
@chrisanag lol i know but it was just so funny  ahaha	,joy
@Veggie_ thatd be likely  bein that i lived on campus ha...i just moved back to the cov	,neutral
The top 5 words I've tweeted: hug  good  people  fun  twitter. http://tinyurl.com/dcxoty ... that's really quite nice	,joy
loves finding new followers	,love
@joecommisso oh ok kool  keep me informed bout that checked ur paged its nice	,neutral
Engaged May 1st to the best guy  I could not be happier! I love you Jay!	,love
@djruss99 love session 2 of king of queens	,love
